#Time	'HT Avg'	'MT Avg'	'LIT Avg'	'LT Avg'	'Total Avg'	'count'
0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.01	0.000000	-0.003356	-0.009960	0.039370	-0.001000	155.000000
0.02	-0.068493	0.062081	-0.022908	-0.039370	-0.003000	294.000000
0.03	-0.068493	0.082215	-0.040837	-0.007874	-0.002000	404.000000
0.04	-0.130137	0.085570	-0.029880	-0.007874	0.000000	483.000000
0.05	-0.130137	0.112416	-0.030876	-0.003937	0.008000	543.000000
0.06	-0.130137	0.127517	-0.042829	-0.007874	0.006000	607.000000
0.07	-0.061644	0.105705	-0.018924	-0.090551	0.006000	661.000000
0.08	0.020548	0.067114	-0.013944	0.003937	0.015000	718.000000
0.09	-0.184932	0.120805	-0.036853	0.125984	0.020000	764.000000
0.1	-0.452055	0.182886	-0.045817	0.181102	0.021500	794.000000
0.11	-0.383562	0.194631	-0.086653	0.271654	0.021000	822.000000
0.12	-0.171233	0.233221	-0.159363	0.350394	0.021500	852.000000
0.13	-0.239726	0.147651	-0.114542	0.437008	0.024500	887.000000
0.14	-0.301370	0.164430	-0.093625	0.366142	0.026500	926.000000
0.15	-0.226027	0.218121	-0.097610	0.248031	0.031000	975.000000
0.16	-0.369863	0.233221	-0.065737	0.244094	0.040500	1002.000000
0.17	-0.226027	0.187919	-0.043825	0.275591	0.052500	1024.000000
0.18	-0.506849	0.201342	-0.041833	0.314961	0.042000	1056.000000
0.19	-0.390411	0.218121	-0.068725	0.362205	0.048000	1089.000000
0.2	-0.438356	0.258389	-0.059761	0.326772	0.056500	1116.000000
0.21	-0.506849	0.280201	-0.047809	0.291339	0.059500	1154.000000
0.22	-0.575342	0.290268	-0.045817	0.374016	0.069000	1185.000000
0.23	-0.636986	0.305369	-0.025896	0.338583	0.074500	1213.000000
0.24	-0.767123	0.303691	-0.032869	0.421260	0.071500	1245.000000
0.25	-0.561644	0.246644	-0.004980	0.429134	0.084500	1272.000000
0.26	-0.602740	0.271812	0.022908	0.389764	0.098000	1306.000000
0.27	-0.602740	0.275168	-0.002988	0.429134	0.091000	1344.000000
0.28	-0.664384	0.243289	0.043825	0.417323	0.099000	1374.000000
0.29	-0.767123	0.233221	0.063745	0.468504	0.105000	1401.000000
0.3	-0.760274	0.208054	0.097610	0.543307	0.124500	1436.000000
0.31	-0.828767	0.276846	0.065737	0.496063	0.118000	1468.000000
0.32	-0.835616	0.260067	0.065737	0.586614	0.124000	1490.000000
0.33	-0.821918	0.231544	0.083665	0.590551	0.126000	1519.000000
0.34	-0.753425	0.147651	0.100598	0.748031	0.134500	1549.000000
0.35	-0.746575	0.171141	0.085657	0.744094	0.134000	1587.000000
0.36	-0.616438	0.191275	0.116534	0.582677	0.144500	1611.000000
0.37	-0.513699	0.211409	0.123506	0.594488	0.163000	1636.000000
0.38	-0.315068	0.189597	0.126494	0.685039	0.184000	1675.000000
0.39	-0.239726	0.176174	0.103586	0.696850	0.175500	1706.000000
0.4	-0.184932	0.241611	0.056773	0.736220	0.180500	1739.000000
0.41	-0.171233	0.248322	0.050797	0.728346	0.179500	1766.000000
0.42	-0.438356	0.278523	0.005976	0.720472	0.145500	1805.000000
0.43	-0.616438	0.268456	0.032869	0.688976	0.139000	1832.000000
0.44	-0.623288	0.218121	0.075697	0.645669	0.139500	1860.000000
0.45	-0.479452	0.255034	0.039841	0.653543	0.144000	1888.000000
0.46	-0.746575	0.255034	0.078685	0.657480	0.144500	1924.000000
0.47	-0.828767	0.295302	0.058765	0.740157	0.151000	1957.000000
0.48	-0.671233	0.256711	0.043825	0.700787	0.138500	1990.000000
0.49	-0.705479	0.260067	0.036853	0.748031	0.139500	2022.000000
0.5	-0.623288	0.281879	-0.001992	0.716535	0.128500	2048.000000
0.51	-0.479452	0.248322	0.067729	0.555118	0.143500	2079.000000
